Aw, snap!\nUnfortunately, this book cannot be recovered.\nOur team of dedicated librarians is currently trying to fix the problem.\nReason: CPU radiator broken\nI sincerely apologize for the inconvenience\n---\namanda06, library administrator
Aw, snap!\nUnfortunately, this book cannot be recovered.\nOur team of dedicated librarians is currently trying to fix the problem.\nReason: the curls in your keyboard cord are losing electricity.\nI sincerely apologize for the inconvenience\n---\namanda06, library administrator
Aw, snap!\nUnfortunately, this book cannot be recovered.\nOur team of dedicated librarians is currently trying to fix the problem.\nReason: static from plastic slide rules\nI sincerely apologize for the inconvenience\n---\namanda06, library administrator
Aw, snap!\nUnfortunately, this book cannot be recovered.\nOur team of dedicated librarians is currently trying to fix the problem.\nReason: The mouse escaped.\nI sincerely apologize for the inconvenience\n---\namanda06, library administrator
Aw, snap!\nUnfortunately, this book cannot be recovered.\nOur team of dedicated librarians is currently trying to fix the problem.\nReason: vi needs to be upgraded to vii\nI sincerely apologize for the inconvenience\n---\namanda06, library administrator
Aw, snap!\nUnfortunately, this book cannot be recovered.\nOur team of dedicated librarians is currently trying to fix the problem.\nReason: Jupiter is aligned with Mars.\nI sincerely apologize for the inconvenience\n---\namanda06, library administrator
Aw, snap!\nUnfortunately, this book cannot be recovered.\nOur team of dedicated librarians is currently trying to fix the problem.\nReason: Unoptimized hard drive\nI sincerely apologize for the inconvenience\n---\namanda06, library administrator
Aw, snap!\nUnfortunately, this book cannot be recovered.\nOur team of dedicated librarians is currently trying to fix the problem.\nReason: Unfortunately we have run out of bits/bytes/whatever. Don't worry, the next supply will be coming next week.\nI sincerely apologize for the inconvenience\n---\namanda06, library administrator
Aw, snap!\nUnfortunately, this book cannot be recovered.\nOur team of dedicated librarians is currently trying to fix the problem.\nReason: fat electrons in the lines\nI sincerely apologize for the inconvenience\n---\namanda06, library administrator
Aw, snap!\nUnfortunately, this book cannot be recovered.\nOur team of dedicated librarians is currently trying to fix the problem.\nReason: monitor resolution too high\nI sincerely apologize for the inconvenience\n---\namanda06, library administrator
Aw, snap!\nUnfortunately, this book cannot be recovered.\nOur team of dedicated librarians is currently trying to fix the problem.\nReason: Change in Earth's rotational speed\nI sincerely apologize for the inconvenience\n---\namanda06, library administrator
Aw, snap!\nUnfortunately, this book cannot be recovered.\nOur team of dedicated librarians is currently trying to fix the problem.\nReason: Dyslexics retyping hosts file on servers\nI sincerely apologize for the inconvenience\n---\namanda06, library administrator
Aw, snap!\nUnfortunately, this book cannot be recovered.\nOur team of dedicated librarians is currently trying to fix the problem.\nReason: The Borg tried to assimilate your system. Resistance is futile.\nI sincerely apologize for the inconvenience\n---\namanda06, library administrator
